timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, pstate, clocks.current.sm [MHz]
2025/12/20 09:10:10.035, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 42, P0, 1980 MHz
2025/12/20 09:10:15.036, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 42, P0, 1980 MHz
2025/12/20 09:10:20.037, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 42, P0, 1980 MHz
2025/12/20 09:10:25.037, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 42, P0, 1980 MHz
2025/12/20 09:10:30.038, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 42, P0, 1980 MHz
2025/12/20 09:10:35.038, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:10:40.039, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 44, P0, 1980 MHz
2025/12/20 09:10:45.039, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:10:50.040, 0, 87 %, 24 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:10:55.041, 0, 82 %, 23 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:11:00.041, 0, 82 %, 22 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:11:05.042, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:11:10.043, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:11:15.043, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:11:20.044, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:11:25.045, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:11:30.045, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:11:35.046, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:11:40.046, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:11:45.047, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:11:50.047, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 44, P0, 1980 MHz
2025/12/20 09:11:55.048, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 44, P0, 1980 MHz
2025/12/20 09:12:00.049, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:12:05.049, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 44, P0, 1980 MHz
2025/12/20 09:12:10.050, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 44, P0, 1980 MHz
2025/12/20 09:12:15.050, 0, 88 %, 24 %, 18439 MiB, 143771 MiB, 44, P0, 1980 MHz
2025/12/20 09:12:20.051, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 46, P0, 1980 MHz
2025/12/20 09:12:25.052, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:12:30.052, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:12:35.053, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:12:40.054, 0, 83 %, 23 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:12:45.054, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:12:50.055, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:12:55.061, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:13:00.062, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:13:05.063, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:13:10.063, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:13:15.064, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:13:20.065, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:13:25.065, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:13:30.066, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:13:35.066, 0, 87 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:13:40.067, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:13:45.068, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:13:50.068, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:13:55.069, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:14:00.070, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:14:05.070, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:14:10.071, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:14:15.072, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:14:20.072, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:14:25.073, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:14:30.074, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:14:35.075, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:14:40.076, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:14:45.076, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:14:50.077, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:14:55.078, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:15:00.078, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:15:05.079, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:15:10.080, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 46, P0, 1980 MHz
2025/12/20 09:15:15.080, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 46, P0, 1980 MHz
2025/12/20 09:15:20.081, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:15:25.082, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:15:30.082, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 46, P0, 1980 MHz
2025/12/20 09:15:35.083, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:15:40.084, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:15:45.084, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:15:50.085, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:15:55.086, 0, 88 %, 24 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:16:00.086, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:16:05.087, 0, 88 %, 25 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:16:10.088, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:16:15.089, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:16:20.089, 0, 87 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:16:25.090, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:16:30.090, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:16:35.091, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:16:40.092, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:16:45.092, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:16:50.093, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:16:55.093, 0, 82 %, 23 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:17:00.094, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:17:05.095, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:17:10.095, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:17:15.096, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:17:20.097, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:17:25.098, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:17:30.099, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:17:35.099, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:17:40.100, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:17:45.101, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:17:50.101, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:17:55.102, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:18:00.103, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:18:05.103, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:18:10.104, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:18:15.105, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:18:20.105, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:18:25.106, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:18:30.107, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:18:35.107, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:18:40.108, 0, 83 %, 23 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:18:45.109, 0, 83 %, 23 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:18:50.110, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:18:55.111, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 51, P0, 1980 MHz
2025/12/20 09:19:00.111, 0, 87 %, 24 %, 18439 MiB, 143771 MiB, 51, P0, 1980 MHz
2025/12/20 09:19:05.112, 0, 87 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:19:10.113, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:19:15.113, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:19:20.114, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 51, P0, 1980 MHz
2025/12/20 09:19:25.115, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 51, P0, 1980 MHz
2025/12/20 09:19:30.116, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 51, P0, 1980 MHz
2025/12/20 09:19:35.116, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:19:40.117, 0, 88 %, 25 %, 18439 MiB, 143771 MiB, 50, P0, 1980 MHz
2025/12/20 09:19:45.118, 0, 86 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:19:50.118, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:19:55.119, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:20:00.120, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:20:05.121, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:20:10.122, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:20:15.122, 0, 83 %, 23 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:20:20.123, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 46, P0, 1980 MHz
2025/12/20 09:20:25.124, 0, 85 %, 23 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:20:30.124, 0, 84 %, 23 %, 18439 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:20:35.125, 0, 85 %, 24 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:20:40.126, 0, 83 %, 23 %, 18439 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:20:45.126, 0, 0 %, 0 %, 18439 MiB, 143771 MiB, 40, P0, 1980 MHz
2025/12/20 09:20:50.127, 0, 0 %, 0 %, 18439 MiB, 143771 MiB, 39, P0, 1980 MHz
2025/12/20 09:20:55.128, 0, 0 %, 0 %, 18439 MiB, 143771 MiB, 38, P0, 1980 MHz
2025/12/20 09:21:00.129, 0, 0 %, 0 %, 18439 MiB, 143771 MiB, 37, P0, 1980 MHz
2025/12/20 09:21:05.129, 0, 0 %, 0 %, 18441 MiB, 143771 MiB, 37, P0, 1980 MHz
2025/12/20 09:21:10.130, 0, 0 %, 0 %, 18443 MiB, 143771 MiB, 37, P0, 1980 MHz
2025/12/20 09:21:15.131, 0, 0 %, 0 %, 18445 MiB, 143771 MiB, 36, P0, 1980 MHz
2025/12/20 09:21:20.132, 0, 0 %, 0 %, 18457 MiB, 143771 MiB, 37, P0, 1980 MHz
2025/12/20 09:21:25.132, 0, 0 %, 0 %, 33597 MiB, 143771 MiB, 36, P0, 1980 MHz
2025/12/20 09:21:30.133, 0, 99 %, 74 %, 33597 MiB, 143771 MiB, 41, P0, 1980 MHz
2025/12/20 09:21:35.134, 0, 0 %, 0 %, 15013 MiB, 143771 MiB, 35, P0, 1980 MHz
2025/12/20 09:21:40.134, 0, 0 %, 0 %, 15295 MiB, 143771 MiB, 35, P0, 1980 MHz
2025/12/20 09:21:45.135, 0, 0 %, 0 %, 18405 MiB, 143771 MiB, 34, P0, 1980 MHz
2025/12/20 09:21:50.136, 0, 83 %, 21 %, 18707 MiB, 143771 MiB, 44, P0, 1980 MHz
2025/12/20 09:21:55.136, 0, 100 %, 67 %, 102797 MiB, 143771 MiB, 46, P0, 1965 MHz
2025/12/20 09:22:00.137, 0, 90 %, 25 %, 103757 MiB, 143771 MiB, 43, P0, 1980 MHz
2025/12/20 09:22:05.138, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 45, P0, 1980 MHz
2025/12/20 09:22:10.139, 0, 85 %, 23 %, 103757 MiB, 143771 MiB, 45, P0, 1980 MHz
2025/12/20 09:22:15.139, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 46, P0, 1980 MHz
2025/12/20 09:22:20.140, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 46, P0, 1980 MHz
2025/12/20 09:22:25.141, 0, 82 %, 23 %, 103757 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:22:30.142, 0, 85 %, 23 %, 103757 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:22:35.143, 0, 84 %, 23 %, 103757 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:22:40.143, 0, 85 %, 23 %, 103757 MiB, 143771 MiB, 47, P0, 1980 MHz
2025/12/20 09:22:45.144, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:22:50.145, 0, 90 %, 25 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:22:55.146, 0, 84 %, 23 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:23:00.146, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:23:05.147, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:23:10.148, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:23:15.148, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:23:20.149, 0, 85 %, 23 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:23:25.150, 0, 84 %, 23 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:23:30.151, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:23:35.151, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:23:40.152, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:23:45.153, 0, 85 %, 23 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:23:50.154, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:23:55.154, 0, 84 %, 23 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:24:00.155, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:24:05.156, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:24:10.156, 0, 83 %, 23 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:24:15.157, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:24:20.158, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:24:25.159, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:24:30.159, 0, 85 %, 23 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:24:35.160, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:24:40.161, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:24:45.161, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:24:50.162, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:24:55.163, 0, 89 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:25:00.163, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:25:05.164, 0, 84 %, 23 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:25:10.165, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:25:15.166, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:25:20.166, 0, 89 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:25:25.167, 0, 80 %, 22 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:25:30.168, 0, 84 %, 23 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:25:35.169, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:25:40.170, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:25:45.170, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:25:50.171, 0, 90 %, 25 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:25:55.172, 0, 85 %, 23 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:26:00.173, 0, 84 %, 23 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:26:05.174, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:26:10.175, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:26:15.176, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:26:20.176, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:26:25.177, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:26:30.178, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 41, P0, 1980 MHz
2025/12/20 09:26:35.686, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 38, P0, 345 MHz
2025/12/20 09:26:40.688, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 37, P0, 345 MHz
2025/12/20 09:26:45.689, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 36, P0, 345 MHz
2025/12/20 09:26:50.690, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 35, P0, 345 MHz
2025/12/20 09:26:55.691, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 34, P0, 345 MHz
2025/12/20 09:27:00.692, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 33, P0, 345 MHz
2025/12/20 09:27:05.693, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 33, P0, 345 MHz
